NEGERI,PPD,PARLIMEN,DUN,PERINGKAT,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,GRED,BANTUAN,BILSESI,SESI,ENROLMEN PRASEKOLAH,ENROLMEN,ENROLMEN KHAS,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY,SKM<=150
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0001,SEKOLAH KEBANGSAAN TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,54011341,54010387,ABA0001@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,50,456,49,50,ADA,ADA,101.2560752,4.196920426,
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0002,SEKOLAH KEBANGSAAN PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,54182740,54182740,ABA0002@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,68,436,,36,ADA,TIADA,101.2006171,4.178275806,
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0003,SEKOLAH KEBANGSAAN BANIR,BANIR,35400,TAPAH ROAD,1165750521,TIADA,ABA0003@moe.edu.my,Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,7,30,,14,ADA,TIADA,101.181893,4.204361,YA
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0004,SEKOLAH KEBANGSAAN TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,1165566954,TIADA,ABA0004@moe.edu.my,Bandar,C,SK,1 Sesi,Pagi Sahaja,22,106,,17,ADA,TIADA,101.1728194,4.235840515,YA
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0005,SEKOLAH KEBANGSAAN CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,54030268,54030268,ABA0005@moe.edu.my,Luar Bandar,B,SK,1 Sesi,Pagi Sahaja,13,144,,19,ADA,TIADA,101.240556,4.26798,YA
PERAK,PPD BATANG PADANG, TANJONG MALIM, SUNGKAI,Rendah,SK,ABA0006,SEKOLAH KEBANGSAAN BIDOR,JALAN SUNGKAI,35500,BIDOR,54340797,54340797,ABA0006@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,48,304,,28,ADA,TIADA,101.2885528,4.107830073,
PERAK,PPD BATANG PADANG, TANJONG MALIM, BEHRANG,Rendah,SK,ABA0007,SEKOLAH KEBANGSAAN KAMPONG POH,KAMPONG POH,35500,BIDOR,1165750582,TIADA,ABA0007@moe.edu.my,Luar Bandar,SKM C,SK,1 Sesi,Pagi Sahaja,25,94,,15,ADA,TIADA,101.333928,4.087714,YA
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0008,SEKOLAH KEBANGSAAN BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,54198507,54190161,ABA0008@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,25,245,,18,ADA,TIADA,101.2275938,4.225044552,
PERAK,PPD BATANG PADANG, TAPAH, CHENDERIANG,Rendah,SK,ABA0009,SEKOLAH KEBANGSAAN BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,54011249,TIADA,ABA0009@moe.edu.my,Bandar,SKM B,SK,1 Sesi,Pagi Sahaja,22,103,,15,ADA,TIADA,101.2849985,4.199232221,YA
PERAK,PPD BATANG PADANG, TAPAH, AYER KUNING,Rendah,SK,ABA0010,SEKOLAH KEBANGSAAN HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,56591069,56591069,ABA0010@moe.edu.my,Bandar,B,SK,1 Sesi,Pagi Sahaja,14,283,,29,ADA,TIADA,101.151,4.126494,
